,MRR/all,MRR/recurring,MRR/novel,H10/all
recurrence,0.16700329271460973,0.4639611820113216,4.768236182867872e-05,0.26001526674394276
popularity,0.03885952220468557,0.0709030675891179,0.020844005963662166,0.0877696417969523
ComplEx,0.09427779882489219,0.21178640064289925,0.028212134145329398,0.1793206298945464
backoff(pop),0.18031532689037277,0.4639611820113216,0.020844005963662166,0.2895945831330751
backoff(ComplEx),0.18503177466468554,0.4639611820113216,0.028212134145329398,0.29823160215996153
