,MRR/all,MRR/recurring,MRR/novel,H10/all
RE-GCN,0.12312335520982742,0.27906009554862976,0.03545263409614563,0.20781148398405475
recurrence,0.16700329271460973,0.4639611820113216,4.768236182867872e-05,0.26001526674394276
backoff(rec->RE-GCN),0.18966652598810774,0.4639611820113216,0.03545263409614563,0.30714427073025924
