entity,type,start,end,weeks,intensity,peak
Earnings ESP,CONCEPT,2018-01-22,2018-04-30,15,116.7,2018-04-23
Россия,GPE,2019-04-15,2019-12-09,35,115.8,2019-05-13
Share Price,FIN_INSTRUMENT,2021-03-29,2022-02-14,47,114.9,2021-07-26
Cannabis Industry,SECTOR,2018-08-13,2020-03-23,85,114.7,2018-12-24
TikTok,PRODUCT,2020-05-25,2021-02-22,40,114.1,2020-08-31
Economic Recovery,CONCEPT,2020-03-23,2021-12-13,91,113.9,2020-06-08
Украина,GPE,2019-04-01,2019-12-09,37,113.9,2019-07-15
Warren Buffett,PERSON,2020-02-17,2020-08-31,29,112.2,2020-02-24
STXBZ,FIN_INSTRUMENT,2020-04-20,2020-12-07,34,111.5,2020-05-04
Technology Sector,SECTOR,2017-01-02,2017-04-24,17,111.4,2017-04-24
Stock value,FIN_INSTRUMENT,2020-05-18,2020-12-28,33,111.3,2020-05-18
Comcast,COMP,2020-01-20,2020-06-15,22,110.6,2020-01-27
Pandemic,EVENT,2020-04-06,2021-12-27,91,109.6,2021-01-04
Inflation,CONCEPT,2023-07-24,2023-12-04,20,109.4,2023-07-24
Nasdaq Composite,FIN_INSTRUMENT,2020-04-06,2021-05-17,59,109.0,2020-09-28
AMC Entertainment Holdings,COMP,2020-04-13,2021-08-16,71,108.4,2021-02-01
Aphria,COMP,2019-04-01,2020-03-02,49,108.1,2019-10-21
Plug Power,COMP,2019-09-23,2020-03-30,28,108.0,2020-03-09
Exxon Mobil,COMP,2020-01-20,2020-11-30,46,107.3,2020-03-30
Beyond Meat,COMP,2019-04-22,2019-11-04,29,106.7,2019-06-03
Gold Market,FIN_INSTRUMENT,2023-05-29,2023-11-27,27,106.5,2023-07-24
EBIT,ECON_INDICATOR,2021-04-05,2022-02-07,45,106.5,2021-06-21
American Airlines,COMP,2020-01-20,2021-02-01,55,106.3,2020-12-28
Bank of America,COMP,2019-12-16,2020-11-09,48,104.7,2020-04-13
Metaverse,CONCEPT,2021-09-13,2023-06-05,91,104.1,2022-09-19
