entity,type,start,end,weeks,intensity,peak
Stock Price,FIN_INSTRUMENT,2019-07-22,2019-08-26,6,31.4,2019-08-26
Cypress Semiconductor,COMP,2017-08-21,2019-06-03,94,31.4,2017-09-25
CrowdStrike,COMP,2022-02-14,2023-03-20,58,31.3,2022-04-18
Rockwell Automation Inc.,COMP,2017-10-30,2018-11-05,54,31.3,2018-04-23
Guess,COMP,2019-09-09,2020-02-03,22,31.3,2020-02-03
iShares ESG Aware MSCI USA ETF,FIN_INSTRUMENT,2022-11-28,2023-11-27,53,31.3,2022-11-28
SoFi Technologies,COMP,2021-07-05,2022-02-14,33,31.3,2021-07-19
Adobe Systems Inc.,COMP,2017-03-13,2018-06-11,66,31.2,2017-03-13
Chevron,COMP,2022-04-18,2022-04-25,2,31.2,2022-04-18
William Ackman,PERSON,2020-05-25,2021-06-21,57,31.2,2021-06-21
Energy Stocks,FIN_INSTRUMENT,2023-07-24,2023-09-11,8,31.2,2023-07-24
Dow Jones Industrials,FIN_INSTRUMENT,2023-07-17,2023-10-23,15,31.2,2023-07-31
UiPath,COMP,2021-08-23,2023-12-04,120,31.2,2023-11-27
Berkshire Hathaway,COMP,2022-03-14,2022-05-16,10,31.2,2022-05-16
Сергей Скрипаль,PERSON,2018-03-05,2018-10-29,35,31.1,2018-03-12
Financial Select Sector SPDR ETF,FIN_INSTRUMENT,2020-01-06,2020-08-10,32,31.1,2020-01-13
Investors,PERSON,2021-03-29,2021-05-10,7,31.1,2021-05-03
Earnings,ECON_INDICATOR,2018-01-29,2018-02-26,5,31.1,2018-02-12
Nikola Corp,COMP,2020-07-06,2021-11-15,72,31.1,2021-11-15
JetBlue Airways,COMP,2020-01-13,2020-08-24,33,31.1,2020-01-20
Earnings Growth,CONCEPT,2022-08-08,2022-10-31,13,31.1,2022-08-08
Medicago,COMP,2020-07-13,2020-11-09,18,31.1,2020-07-13
Dow,FIN_INSTRUMENT,2019-03-11,2019-09-02,26,31.1,2019-07-29
Cheniere Energy,COMP,2017-06-26,2018-11-12,73,31.0,2018-07-09
"TJX Companies, Inc.",COMP,2017-01-09,2018-08-13,84,31.0,2017-02-20
Zscaler,COMP,2019-07-15,2020-12-28,77,31.0,2020-03-09
Revenues,ECON_INDICATOR,2022-01-31,2022-06-06,19,31.0,2022-02-21
Nordstrom,COMP,2020-01-20,2020-06-15,22,31.0,2020-05-25
Boston Scientific,COMP,2021-11-29,2023-12-11,107,31.0,2022-02-28
Ford Motor Co,COMP,2020-04-06,2021-10-25,82,31.0,2020-04-13
The Trade Desk,COMP,2019-09-09,2020-02-17,24,30.9,2019-11-11
Williams Companies,COMP,2019-02-11,2020-09-28,86,30.9,2019-06-24
Best Buy,COMP,2019-11-11,2019-12-02,4,30.9,2019-12-02
FedEx,COMP,2021-09-20,2021-09-20,1,30.9,2021-09-20
Dividend Stability,CONCEPT,2022-11-07,2023-03-13,19,30.9,2022-11-14
Halliburton Co,COMP,2020-04-06,2021-08-09,71,30.9,2020-04-20
Healthcare,SECTOR,2019-07-08,2019-07-22,3,30.9,2019-07-08
TD Asset Management Inc,ORG,2017-07-31,2017-07-31,1,30.9,2017-07-31
Filament LLC,ORG,2017-01-09,2017-01-09,1,30.9,2017-01-09
CES 2023,EVENT,2022-12-26,2022-12-26,1,30.9,2022-12-26
Quarterly Results,EVENT,2020-04-20,2021-10-25,80,30.8,2020-07-20
Ralph Lauren,COMP,2019-02-04,2020-04-27,65,30.8,2020-02-10
"EMCOR Group, Inc.",COMP,2017-06-12,2018-12-24,81,30.8,2017-12-11
T. Rowe Price Group,COMP,2021-06-14,2021-10-25,20,30.8,2021-08-09
Starbucks Corp,COMP,2020-04-06,2022-08-22,125,30.8,2021-04-26
Regional Banks,SECTOR,2019-12-02,2020-06-01,27,30.7,2019-12-02
Current Liabilities,ECON_INDICATOR,2021-04-26,2021-12-20,35,30.7,2021-05-10
Китай,GPE,2017-01-09,2019-10-14,145,30.7,2017-12-25
Earnings Per Share,ECON_INDICATOR,2018-01-29,2018-02-12,3,30.7,2018-02-12
Nasdaq,FIN_INSTRUMENT,2023-12-11,2023-12-11,1,30.7,2023-12-11
Apple Inc.,COMP,2023-07-24,2023-09-11,8,30.7,2023-08-07
Alnylam,COMP,2019-12-02,2020-06-15,29,30.7,2019-12-02
Capital Goods Sector,SECTOR,2017-01-02,2019-04-08,119,30.7,2017-02-20
Twitter Inc,COMP,2022-04-04,2022-10-17,29,30.7,2022-04-25
iShares Russell Mid-Cap Growth ETF,FIN_INSTRUMENT,2023-03-13,2023-11-27,38,30.6,2023-08-21
Earnings Per Share,ECON_INDICATOR,2017-10-23,2017-11-13,4,30.6,2017-10-30
Large Cap Value Segment,SECTOR,2023-01-23,2023-12-11,47,30.6,2023-07-24
V.F. Corporation,COMP,2017-02-13,2019-06-10,122,30.6,2017-02-13
Dow Jones Industrial Average,FIN_INSTRUMENT,2020-03-16,2020-05-18,10,30.6,2020-05-04
Ford Motor Company,COMP,2017-01-02,2017-08-21,34,30.6,2017-06-19
Union Pacific Corporation,COMP,2017-05-22,2018-08-27,67,30.6,2018-01-22
General Motors Co,COMP,2020-04-13,2020-10-12,27,30.5,2020-09-07
Bristol-Myers Squibb,COMP,2018-12-24,2020-02-24,62,30.5,2018-12-31
Hurricane Irma,EVENT,2017-09-04,2017-10-09,6,30.5,2017-09-04
"Autoliv, Inc.",COMP,2017-02-06,2017-11-20,42,30.4,2017-05-01
Square,COMP,2020-05-04,2020-09-07,19,30.4,2020-06-29
Chris Hill,PERSON,2019-12-09,2021-04-26,73,30.4,2020-05-11
Energy Transition,CONCEPT,2021-01-25,2023-12-11,151,30.4,2021-10-25
Huya,COMP,2019-11-18,2021-02-08,65,30.4,2019-11-25
Net Income,ECON_INDICATOR,2019-09-09,2020-03-02,26,30.4,2019-09-09
U.S. Dollar,FIN_INSTRUMENT,2023-07-17,2023-11-20,19,30.4,2023-09-04
Comcast,COMP,2020-09-14,2020-11-16,10,30.4,2020-11-02
Return On Equity,CONCEPT,2021-04-05,2022-01-31,44,30.3,2021-07-12
Chip Stocks,FIN_INSTRUMENT,2023-07-24,2023-09-25,10,30.3,2023-08-07
Manufacturing,SECTOR,2019-07-15,2020-06-01,47,30.3,2020-05-04
RBNZ,ORG/GOV,2019-05-06,2020-02-10,41,30.3,2020-02-10
Hurricane Harvey,EVENT,2017-08-21,2017-10-09,8,30.3,2017-08-28
Merck,COMP,2020-05-11,2020-06-08,5,30.3,2020-06-08
Canadian Solar Inc.,COMP,2017-11-27,2018-05-14,25,30.3,2018-03-12
Aerospace Sector,SECTOR,2019-12-09,2020-11-23,51,30.2,2019-12-09
Spirit AeroSystems,COMP,2019-11-04,2021-05-03,79,30.2,2021-05-03
Travelers,COMP,2019-10-14,2021-02-08,70,30.2,2019-10-14
Vanguard Information Technology ETF,FIN_INSTRUMENT,2019-04-01,2019-07-08,15,30.2,2019-07-01
Apple,COMP,2022-06-06,2022-06-27,4,30.2,2022-06-13
Weibo,COMP,2018-12-17,2019-11-18,49,30.2,2019-08-19
First Trust Nasdaq Clean Edge Green Energy Index Fund,FIN_INSTRUMENT,2023-09-11,2023-11-06,9,30.2,2023-09-11
"Foot Locker, Inc.",COMP,2017-01-09,2018-01-15,54,30.2,2017-05-15
Marijuana,CONCEPT,2019-01-21,2019-12-16,48,30.2,2019-03-18
Fortinet,COMP,2019-07-29,2019-11-04,15,30.2,2019-11-04
Stocks,FIN_INSTRUMENT,2017-01-30,2017-02-06,2,30.2,2017-01-30
Coca-Cola Company,COMP,2017-02-06,2017-04-24,12,30.2,2017-04-03
Insurance Sector,SECTOR,2017-01-02,2018-05-14,72,30.1,2017-08-07
Михаил Саакашвили,PERSON,2017-05-29,2018-02-12,38,30.1,2017-07-24
Lululemon Athletica,COMP,2021-06-07,2021-09-13,15,30.1,2021-09-13
Европа,GPE,2018-02-26,2019-12-09,94,30.1,2019-07-15
Adjusted EBITDA,ECON_INDICATOR,2022-02-21,2022-08-08,25,30.1,2022-08-01
Liabilities,ECON_INDICATOR,2021-04-05,2022-01-10,41,30.1,2021-04-12
United Parcel Service,COMP,2020-11-16,2021-07-26,37,30.1,2020-12-07
Comcast Corp,COMP,2020-03-23,2021-05-17,61,30.1,2021-04-26
Fitbit,COMP,2018-01-22,2020-03-30,115,30.1,2018-01-22
actual trailing twelve month volatility,CONCEPT,2019-04-01,2020-06-15,64,30.0,2019-12-23
737 MAX,PRODUCT,2019-03-04,2021-01-11,98,30.0,2020-11-16
Dish Network Corp,COMP,2019-12-23,2020-08-10,34,30.0,2019-12-23
U.S. Food and Drug Administration,ORG/REG,2019-09-02,2021-11-15,116,30.0,2020-08-03
Trivago,COMP,2019-02-04,2020-11-23,95,30.0,2020-11-02
"Hochman Cole Investment Advisors, Inc.",ORG,2017-07-17,2017-07-17,1,29.9,2017-07-17
Jason Hall,PERSON,2020-03-23,2021-10-18,83,29.9,2021-09-20
Diversified Trust Co,ORG,2017-07-17,2017-07-17,1,29.9,2017-07-17
"Portfolio Solutions, LLC",ORG,2017-10-09,2017-10-09,1,29.9,2017-10-09
B.S. Pension Fund Trustee Ltd,ORG,2017-05-15,2017-05-15,1,29.9,2017-05-15
"BKD Wealth Advisors, LLC",ORG,2017-10-09,2017-10-09,1,29.9,2017-10-09
Adjusted EPS,ECON_INDICATOR,2022-01-10,2023-03-06,61,29.9,2022-10-31
iShares Global Tech ETF,FIN_INSTRUMENT,2023-06-19,2023-11-20,23,29.9,2023-06-19
Aussie Dollar,FIN_INSTRUMENT,2019-04-08,2020-11-02,83,29.9,2019-11-25
SPDR S&P 500,FIN_INSTRUMENT,2017-01-02,2018-06-04,75,29.9,2017-07-31
"Darden Restaurants, Inc.",COMP,2017-03-20,2018-12-24,93,29.9,2018-06-18
Virgin Galactic Holdings,COMP,2019-11-18,2021-08-09,91,29.8,2021-08-09
Visa Inc.,COMP,2017-07-17,2018-05-28,46,29.8,2017-07-17
Dada Nexus Ltd,COMP,2020-05-25,2020-06-01,2,29.8,2020-05-25
Salesforce.com,COMP,2020-06-01,2020-09-14,16,29.8,2020-08-24
Rite Aid Corporation,COMP,2017-03-13,2018-01-08,44,29.7,2017-04-24
Pre-Market Session,EVENT,2017-06-12,2017-12-18,28,29.7,2017-06-26
Teladoc,COMP,2020-03-09,2022-01-10,97,29.7,2021-05-17
McDonald's Corp.,COMP,2017-01-09,2018-07-16,80,29.7,2017-03-13
Alibaba,COMP,2020-06-08,2020-07-20,7,29.7,2020-06-15
Amarin,COMP,2019-08-05,2020-03-16,33,29.7,2020-01-13
trailing twelve month trading history,CONCEPT,2021-01-11,2021-09-13,36,29.6,2021-09-13
Total,COMP,2019-12-23,2021-05-31,76,29.6,2020-01-20
Altria Group,COMP,2018-12-03,2019-12-09,54,29.6,2018-12-17
Donald Trump,PERSON,2020-04-27,2020-10-26,27,29.6,2020-04-27
3M Co,COMP,2019-04-22,2022-02-07,147,29.5,2019-04-22
AGCO Corporation,COMP,2017-04-10,2018-02-05,44,29.5,2018-02-05
Turkey,GPE,2018-05-07,2019-08-19,68,29.5,2018-08-13
REIT,SECTOR,2017-01-23,2017-06-19,22,29.5,2017-02-20
Caterpillar Inc.,COMP,2018-09-17,2019-01-28,20,29.5,2018-10-01
Apple,COMP,2019-10-28,2019-11-25,5,29.5,2019-11-04
Abbott Labs,COMP,2020-02-17,2020-08-31,29,29.5,2020-08-31
Dana Incorporated,COMP,2017-05-15,2018-06-11,57,29.5,2018-06-11
Eastman Chemical Company,COMP,2017-12-25,2019-01-28,58,29.5,2018-04-09
Pinnacle Foods Inc.,COMP,2017-02-20,2018-09-10,82,29.5,2017-02-27
Comcast,COMP,2018-04-23,2018-07-30,15,29.5,2018-04-23
Current Year Earnings,ECON_INDICATOR,2017-01-09,2019-03-25,116,29.5,2017-01-09
Guess?,COMP,2017-11-27,2018-10-01,45,29.4,2018-04-16
Novartis,COMP,2018-01-22,2018-06-04,20,29.4,2018-06-04
Исламское государство,ORG,2019-03-11,2019-11-18,37,29.4,2019-10-28
SPDR S&P Homebuilders ETF,FIN_INSTRUMENT,2023-07-17,2023-11-27,20,29.4,2023-08-14
UnitedHealth Group,COMP,2020-12-21,2022-04-18,70,29.4,2021-03-15
Capital Expenditure,ECON_INDICATOR,2017-01-30,2019-03-04,110,29.4,2017-04-17
Short Squeeze,CONCEPT,2021-01-25,2021-09-20,35,29.4,2021-01-25
Nike Inc,COMP,2020-09-14,2020-09-21,2,29.4,2020-09-21
Earnings Beat,CONCEPT,2022-07-18,2022-11-07,17,29.4,2022-10-17
Dividend Growth Rate,CONCEPT,2023-04-17,2023-08-07,17,29.4,2023-05-01
BNDI,FIN_INSTRUMENT,2023-07-24,2023-11-27,19,29.4,2023-09-04
Workhorse,COMP,2020-07-13,2021-07-26,55,29.4,2020-12-07
Novavax,COMP,2021-09-06,2022-01-17,20,29.4,2022-01-10
Foot Locker,COMP,2020-03-23,2020-06-08,12,29.3,2020-04-27
Global Semiconductor Manufacturing,SECTOR,2023-07-31,2023-12-11,20,29.3,2023-12-11
ON Semiconductor,COMP,2023-07-31,2023-08-14,3,29.3,2023-07-31
Kimberly-Clark,COMP,2019-07-22,2020-04-27,41,29.3,2020-01-13
Ambev,COMP,2019-03-25,2019-10-28,32,29.3,2019-03-25
Nokia,COMP,2019-05-27,2019-08-19,13,29.3,2019-05-27
Charter Communications,COMP,2020-01-06,2021-01-18,55,29.3,2021-01-18
Sprint,COMP,2017-05-08,2018-05-07,53,29.3,2018-04-30
Receivables,ECON_INDICATOR,2021-04-05,2022-10-17,81,29.3,2022-10-03
Earnings Growth Rate,ECON_INDICATOR,2022-01-31,2023-03-20,60,29.3,2022-04-18
Pinduoduo,COMP,2020-05-18,2021-03-01,42,29.3,2020-05-25
Zoom Video,COMP,2019-06-17,2020-11-30,77,29.3,2020-11-30
CSX,COMP,2019-07-29,2020-02-03,28,29.2,2019-09-16
Spirit AeroSystems Holdings Inc,COMP,2019-12-09,2020-09-21,42,29.2,2019-12-09
First Trust Advisors,ORG,2022-01-17,2023-12-11,100,29.2,2023-09-04
KKR,ORG,2020-01-20,2022-04-18,118,29.2,2021-11-29
Operating Margin,ECON_INDICATOR,2018-01-22,2018-09-03,33,29.2,2018-04-23
Brazil,GPE,2018-04-30,2018-10-29,27,29.1,2018-09-24
Retail-Wholesale Sector,SECTOR,2017-01-02,2018-01-29,57,29.1,2017-09-18
Fundamental Data,CONCEPT,2021-04-26,2022-10-17,78,29.1,2022-10-17
Incyte Corporation,COMP,2017-01-23,2019-02-11,108,29.1,2017-02-13
Earnings,ECON_INDICATOR,2017-01-30,2017-02-27,5,29.1,2017-02-13
Equinor,COMP,2020-07-20,2021-11-29,72,29.1,2021-11-22
Exelon Corporation,COMP,2017-01-16,2018-08-13,83,29.1,2017-08-07
Italy's FTSE MIB Index,FIN_INSTRUMENT,2018-03-12,2019-07-01,69,29.1,2019-04-01
Stocks,FIN_INSTRUMENT,2021-07-19,2021-07-19,1,29.1,2021-07-19
Stock Value,FIN_INSTRUMENT,2022-03-07,2022-03-14,2,29.1,2022-03-14
SPDR S&P Regional Banking ETF,FIN_INSTRUMENT,2023-04-17,2023-11-13,31,29.0,2023-08-21
Terminal Value,CONCEPT,2021-04-12,2022-10-10,79,29.0,2021-07-19
William Hill,COMP,2020-08-31,2021-04-12,33,29.0,2020-09-28
Ralph Lauren Corporation,COMP,2017-08-07,2019-01-28,78,29.0,2018-09-24
COVID-19 vaccine,PRODUCT,2020-04-27,2021-06-07,59,29.0,2020-06-29
Иран,GPE,2018-09-10,2019-10-07,57,29.0,2018-10-22
Penn National,COMP,2020-07-13,2021-10-18,67,29.0,2020-07-13
Texas,GPE,2020-05-04,2020-08-24,17,29.0,2020-06-22
NASDAQ 100 Pre-Market Indicator,FIN_INSTRUMENT,2022-01-17,2023-10-02,90,28.9,2022-09-12
Digital Turbine,COMP,2020-08-17,2021-12-27,72,28.9,2021-02-01
Market,FIN_INSTRUMENT,2021-04-05,2022-01-24,43,28.9,2021-08-16
AMC Entertainment Holdings Inc,COMP,2020-02-24,2021-06-07,68,28.9,2021-01-25
YouTube TV,PRODUCT,2019-10-28,2020-07-20,39,28.9,2020-02-17
SPDR Portfolio S&P 400 Mid Cap ETF,FIN_INSTRUMENT,2022-08-15,2023-10-16,62,28.9,2022-08-15
PacWest Bancorp,COMP,2023-03-13,2023-07-24,20,28.9,2023-07-24
Settlement,CONCEPT,2021-04-19,2022-04-04,51,28.9,2022-01-24
MongoDB,COMP,2019-11-25,2020-11-30,54,28.9,2020-01-27
TSMC,COMP,2022-11-07,2023-05-08,27,28.9,2022-12-05
Biogen Inc.,COMP,2018-04-23,2018-09-10,21,28.9,2018-09-10
Berkshire Hathaway Inc.,COMP,2017-01-02,2018-11-12,98,28.9,2017-02-27
Nasdaq Inc,COMP,2020-04-27,2021-05-10,55,28.9,2021-04-19
Roku,COMP,2022-05-30,2022-08-01,10,28.9,2022-08-01
Estee Lauder Companies Inc.,COMP,2017-01-16,2018-01-22,54,28.9,2017-01-30
"Avon Products, Inc.",COMP,2018-02-12,2019-01-28,51,28.8,2018-07-30
Total Assets,ECON_INDICATOR,2021-04-26,2022-02-07,42,28.8,2021-05-10
Palo Alto Networks,COMP,2022-08-22,2022-09-19,5,28.8,2022-09-19
Sealed Air Corporation,COMP,2017-05-08,2017-12-04,31,28.8,2017-06-12
Trefis,ORG,2020-08-24,2021-07-12,47,28.8,2020-12-07
ServiceNow,COMP,2020-10-26,2022-01-31,67,28.8,2020-11-02
Amazon Web Services,PRODUCT,2019-11-11,2020-03-23,20,28.8,2020-03-23
Newmont Corporation,COMP,2021-04-19,2023-02-20,97,28.8,2021-04-19
Chevron,COMP,2020-12-28,2021-02-01,6,28.7,2021-01-25
Campbell Soup,COMP,2018-06-25,2019-09-23,66,28.7,2018-12-17
Fintech,SECTOR,2019-04-01,2019-06-17,12,28.7,2019-05-13
NIO,COMP,2019-05-27,2020-01-06,33,28.7,2019-08-12
TIM,COMP,2020-07-27,2022-03-14,86,28.7,2020-08-03
Growth Rate,CONCEPT,2021-04-12,2022-10-03,78,28.7,2021-07-26
Honeywell International,COMP,2020-08-24,2020-11-02,11,28.6,2020-11-02
Diageo,COMP,2020-06-15,2021-02-22,37,28.6,2021-01-11
Occidental Petroleum,COMP,2022-11-07,2023-01-02,9,28.6,2022-11-07
Profit,ECON_INDICATOR,2021-03-15,2022-06-06,65,28.6,2021-08-23
China,GPE,2019-01-07,2019-01-28,4,28.5,2019-01-14
Nu Holdings,COMP,2022-02-28,2023-05-01,62,28.5,2022-03-07
Zoom Video Communications,COMP,2021-05-03,2021-12-13,33,28.5,2021-07-26
Pharmaceutical Industry,SECTOR,2019-04-15,2020-03-30,51,28.5,2019-04-15
Nasdaq-100 Index,FIN_INSTRUMENT,2023-07-17,2023-12-11,22,28.5,2023-07-17
After hours session,EVENT,2018-07-02,2018-09-17,12,28.5,2018-07-09
Eric Cuka,PERSON,2021-07-26,2021-08-02,2,28.5,2021-08-02
Groupon,COMP,2017-11-06,2018-07-30,39,28.5,2018-05-21
Coronavirus Crisis,EVENT,2020-02-17,2020-11-02,38,28.5,2020-03-16
HSBC,COMP,2020-05-25,2021-10-18,74,28.4,2020-11-23
Intel Corporation,COMP,2018-06-18,2018-07-23,6,28.4,2018-07-23
Sysco Corporation,COMP,2017-08-14,2019-04-01,86,28.4,2018-11-05
NEOS Enhanced Income Aggregate Bond ETF,PRODUCT,2023-07-24,2023-11-27,19,28.4,2023-08-14
Boston Beer Company,COMP,2022-08-01,2023-12-11,72,28.4,2022-10-10
Alaska Air Group,COMP,2019-11-18,2020-11-23,54,28.4,2019-11-25
Eurozone,GPE,2018-05-21,2018-10-08,21,28.3,2018-05-21
"Owens-Illinois, Inc.",COMP,2017-07-24,2018-04-23,40,28.3,2018-04-23
Skechers,COMP,2019-01-14,2020-03-09,61,28.3,2019-01-14
"Donaldson Company, Inc.",COMP,2017-11-20,2019-01-21,62,28.3,2018-05-28
Hess Corporation,COMP,2017-10-23,2018-08-20,44,28.3,2018-06-11
Vanguard Small-Cap Value ETF,FIN_INSTRUMENT,2023-07-17,2023-12-11,22,28.3,2023-08-21
U.S. GDP,ECON_INDICATOR,2017-07-31,2018-06-25,48,28.3,2017-07-31
Emerson Electric,COMP,2017-08-28,2017-11-06,11,28.3,2017-10-09
Taiwan Semiconductor,COMP,2022-08-29,2023-02-27,27,28.3,2023-01-02
T-Mobile,COMP,2019-09-30,2020-03-30,27,28.2,2019-11-04
Growth Score,CONCEPT,2022-01-17,2023-02-06,56,28.2,2022-04-11
Salesforce,COMP,2019-10-21,2019-12-09,8,28.2,2019-12-09
China,GPE,2021-07-26,2021-08-02,2,28.2,2021-07-26
TriMas Corporation,COMP,2017-07-31,2019-02-25,83,28.2,2017-07-31
Cannabis Legalization,CONCEPT,2019-05-20,2021-03-29,98,28.2,2020-12-14
Израиль,GPE,2018-09-03,2019-11-04,62,28.2,2018-09-17
Nvidia Corp,COMP,2023-02-20,2023-05-29,15,28.1,2023-02-20
Opioid Epidemic,EVENT,2021-04-19,2021-10-25,28,28.1,2021-04-19
Big Lots Inc.,COMP,2017-05-22,2019-03-11,95,28.1,2017-08-28
Charter Communications Inc.,COMP,2017-01-16,2018-03-19,62,28.1,2017-10-23
"United Parcel Service, Inc.",COMP,2017-12-04,2018-08-13,37,28.1,2018-02-26
Hess,COMP,2018-12-03,2020-07-27,87,28.1,2020-07-27
Oil Sector,SECTOR,2020-01-13,2020-10-26,42,28.1,2020-04-20
Target Corporation,COMP,2017-06-12,2018-03-05,39,28.0,2017-11-13
Blackstone Group,COMP,2021-04-26,2022-07-25,66,28.0,2022-07-25
Elon Musk,PERSON,2023-05-01,2023-12-11,33,28.0,2023-12-04
U.S.-China Trade War,EVENT,2018-10-15,2020-01-27,68,28.0,2018-10-29
Walmart,COMP,2022-04-04,2022-05-23,8,28.0,2022-05-16
Freeport-McMoRan Inc,COMP,2017-01-23,2017-07-24,27,28.0,2017-06-12
Five Below,COMP,2019-12-09,2020-03-23,16,28.0,2019-12-09
Afterpay,COMP,2021-01-18,2022-03-14,61,28.0,2021-05-17
Toll Brothers Inc.,COMP,2017-06-19,2018-05-14,48,27.9,2017-06-19
Home Depot,COMP,2020-05-11,2020-11-09,27,27.9,2020-08-17
Expense Ratio,ECON_INDICATOR,2022-12-05,2023-11-27,52,27.9,2023-07-24
Occidental Petroleum,COMP,2019-08-26,2020-01-06,20,27.9,2019-08-26
Federal Reserve,ORG/REG,2017-09-18,2017-09-25,2,27.9,2017-09-18
Stock Valuation,CONCEPT,2021-01-25,2023-07-31,132,27.9,2021-01-25
SPDR Portfolio S&P 500 Value ETF,FIN_INSTRUMENT,2023-05-01,2023-11-27,31,27.9,2023-05-01
Biotech,SECTOR,2019-11-11,2020-07-27,38,27.8,2020-01-06
Грузия,GPE,2019-03-18,2019-12-02,38,27.8,2019-06-17
Unum Group,COMP,2017-04-24,2017-10-23,27,27.8,2017-10-23
Western Alliance Bancorp,COMP,2023-03-13,2023-05-15,10,27.8,2023-03-20
"Ventas, Inc.",COMP,2017-01-30,2018-10-22,91,27.8,2017-09-04
Cintas Corporation,COMP,2018-03-05,2019-03-18,55,27.8,2019-03-18
Bunge Ltd,COMP,2020-01-27,2021-03-01,58,27.8,2020-02-10
Embraer,COMP,2018-07-02,2019-03-11,37,27.8,2018-07-30
TJX Companies,COMP,2019-11-18,2020-03-30,20,27.8,2020-02-24
Microsoft,COMP,2022-07-11,2022-07-25,3,27.7,2022-07-18
Biden Administration,ORG/GOV,2020-09-28,2021-05-03,32,27.7,2020-09-28
Agree Realty,COMP,2021-12-20,2023-05-15,74,27.7,2021-12-20
Exxon Mobil,COMP,2019-08-26,2019-11-18,13,27.7,2019-10-07
Zillow,COMP,2021-02-15,2022-01-17,49,27.7,2022-01-10
Clean Energy Fuels,COMP,2020-02-17,2021-09-27,85,27.7,2021-06-28
Operating Margin,ECON_INDICATOR,2017-04-17,2017-08-14,18,27.7,2017-04-24
Eni SpAE,COMP,2017-03-27,2019-01-21,96,27.7,2017-12-18
Stock Market,FIN_INSTRUMENT,2023-09-25,2023-11-06,7,27.6,2023-09-25
Renewable Energy Stocks,FIN_INSTRUMENT,2020-11-02,2021-07-26,39,27.6,2021-01-04
JD.com,COMP,2019-06-17,2019-12-30,29,27.6,2019-06-17
Costco,COMP,2019-02-11,2019-06-03,17,27.6,2019-05-27
Cost of Capital,CONCEPT,2021-04-12,2022-10-10,79,27.6,2021-07-05
"U.S. Silica Holdings, Inc.",COMP,2017-04-17,2019-03-11,100,27.6,2018-07-23
BNP Paribas,ORG,2020-04-20,2022-03-28,102,27.6,2022-03-07
West Texas Intermediate crude oil,PRODUCT,2019-03-25,2020-03-23,53,27.6,2019-09-16
Macy's Inc,COMP,2017-05-08,2018-05-14,54,27.6,2017-07-10
Layoffs,EVENT,2023-01-02,2023-03-27,13,27.6,2023-03-13
Under Armour Inc.,COMP,2017-01-16,2018-06-04,73,27.6,2018-04-30
Social Distancing,CONCEPT,2020-03-23,2020-11-30,37,27.6,2020-03-30
Fox Corporation,COMP,2020-03-16,2023-02-06,152,27.5,2020-06-29
Target,COMP,2019-05-20,2019-07-08,8,27.5,2019-07-08
PNC Financial Services Group,COMP,2020-05-11,2020-05-18,2,27.5,2020-05-18
RBA,ORG/GOV,2019-02-18,2020-06-01,68,27.5,2020-03-02
Huntsman Corporation,COMP,2017-05-08,2018-09-10,71,27.5,2017-08-14
General Motors,COMP,2019-09-23,2020-04-13,30,27.5,2019-12-02
Castor Maritime,COMP,2021-02-15,2021-06-28,20,27.4,2021-06-07
Cincinnati Financial Corporation,COMP,2017-01-16,2018-08-27,85,27.4,2018-04-23
Global Economy,CONCEPT,2019-01-28,2020-06-01,71,27.4,2019-01-28
Foxconn,COMP,2022-07-04,2023-02-27,35,27.4,2023-02-27
Return on Capital Employed,ECON_INDICATOR,2022-07-18,2022-10-24,15,27.4,2022-08-01
0.2 percent,ECON_INDICATOR,2019-02-25,2019-06-10,16,27.4,2019-04-01
Coty,COMP,2018-09-17,2020-07-20,97,27.4,2018-09-17
Axalta Coating Systems,COMP,2019-11-25,2020-11-02,50,27.3,2019-11-25
eXp World Holdings,COMP,2021-02-01,2021-11-01,40,27.3,2021-02-01
Advanced Micro Devices,COMP,2023-07-24,2023-08-07,3,27.3,2023-07-24
European Central Bank,ORG/REG,2023-07-24,2023-10-23,14,27.3,2023-07-24
Stock Analysis Report,PRODUCT,2017-01-16,2019-01-14,105,27.3,2017-01-16
Volatility,CONCEPT,2023-07-17,2023-11-27,20,27.3,2023-10-09
Progressive Corporation,COMP,2017-07-17,2018-09-10,61,27.3,2018-07-30
Aflac Incorporated,COMP,2017-01-30,2019-03-25,113,27.3,2017-08-14
Travel Stocks,FIN_INSTRUMENT,2020-02-24,2020-12-14,43,27.2,2020-11-16
GE,COMP,2020-01-13,2020-06-22,24,27.2,2020-03-30
United States Cellular Corporation,COMP,2018-03-19,2019-02-25,50,27.2,2018-03-19
Oil Demand,CONCEPT,2020-02-24,2021-01-18,48,27.2,2020-04-13
Activision Blizzard,COMP,2019-09-16,2020-02-10,22,27.2,2019-09-16
Stock Price,FIN_INSTRUMENT,2023-08-07,2023-08-21,3,27.2,2023-08-07
Kimberly-Clark Corporation,COMP,2017-04-17,2018-08-20,71,27.2,2018-04-16
Слуга народа,ORG,2019-04-15,2019-12-09,35,27.1,2019-08-26
Stock Market,FIN_INSTRUMENT,2018-01-22,2018-02-05,3,27.1,2018-01-29
Semiconductor Industry,SECTOR,2021-03-29,2021-07-26,18,27.1,2021-03-29
Tim Beyers,PERSON,2020-03-16,2020-11-23,37,27.1,2020-03-23
